true,predicted,count,share_of_errors,is_case_pair
s,S,63,0.0288,1
o,O,55,0.0251,1
w,W,54,0.0246,1
v,V,54,0.0246,1
z,Z,53,0.0242,1
u,U,51,0.0233,1
x,X,50,0.0228,1
c,C,45,0.0205,1
p,P,42,0.0192,1
W,w,40,0.0183,1
Y,y,38,0.0173,1
y,Y,37,0.0169,1
S,s,36,0.0164,1
Z,z,34,0.0155,1
X,x,32,0.0146,1
P,p,31,0.0141,1
C,c,29,0.0132,1
I,l,29,0.0132,0
V,v,28,0.0128,1
U,u,27,0.0123,1
O,o,25,0.0114,1
k,K,24,0.0110,1
D,P,23,0.0105,0
K,k,23,0.0105,1
l,I,23,0.0105,0
x,t,17,0.0078,0
W,N,16,0.0073,0
G,O,16,0.0073,0
h,n,16,0.0073,0
P,D,15,0.0068,0
l,L,15,0.0068,1
a,d,13,0.0059,0
L,l,12,0.0055,1
x,T,12,0.0055,0
A,H,12,0.0055,0
q,d,11,0.0050,0
y,g,11,0.0050,0
q,a,11,0.0050,0
T,x,11,0.0050,0
a,o,11,0.0050,0
k,R,10,0.0046,0
k,U,10,0.0046,0
G,g,10,0.0046,1
X,T,10,0.0046,0
n,r,10,0.0046,0
C,l,9,0.0041,0
m,M,9,0.0041,1
r,v,9,0.0041,0
r,V,9,0.0041,0
j,i,9,0.0041,0
m,w,9,0.0041,0
k,n,9,0.0041,0
J,g,8,0.0037,0
v,r,8,0.0037,0
w,N,8,0.0037,0
V,U,8,0.0037,0
T,X,8,0.0037,0
l,e,8,0.0037,0
U,v,8,0.0037,0
X,t,8,0.0037,0
n,l,7,0.0032,0
b,p,7,0.0032,0
Y,U,7,0.0032,0
n,p,7,0.0032,0
n,h,7,0.0032,0
z,t,7,0.0032,0
n,u,7,0.0032,0
r,n,7,0.0032,0
e,c,7,0.0032,0
M,m,7,0.0032,1
b,s,7,0.0032,0
y,X,6,0.0027,0
F,E,6,0.0027,0
h,p,6,0.0027,0
x,Y,6,0.0027,0
g,y,6,0.0027,0
t,x,6,0.0027,0
k,h,6,0.0027,0
U,V,6,0.0027,0
h,r,6,0.0027,0
f,E,5,0.0023,0
L,V,5,0.0023,0
X,Y,5,0.0023,0
J,y,5,0.0023,0
K,U,5,0.0023,0
Y,x,5,0.0023,0
u,a,5,0.0023,0
z,N,5,0.0023,0
A,D,5,0.0023,0
H,X,5,0.0023,0
R,P,5,0.0023,0
U,O,5,0.0023,0
J,j,5,0.0023,1
O,U,5,0.0023,0
t,X,5,0.0023,0
l,C,5,0.0023,0
K,F,5,0.0023,0
t,T,5,0.0023,1
L,h,4,0.0018,0
z,a,4,0.0018,0
g,S,4,0.0018,0
J,Z,4,0.0018,0
g,R,4,0.0018,0
j,Z,4,0.0018,0
t,Z,4,0.0018,0
u,M,4,0.0018,0
z,L,4,0.0018,0
y,U,4,0.0018,0
B,R,4,0.0018,0
g,q,4,0.0018,0
v,u,4,0.0018,0
o,c,4,0.0018,0
c,l,4,0.0018,0
M,a,4,0.0018,0
d,a,4,0.0018,0
d,U,4,0.0018,0
e,N,4,0.0018,0
K,x,4,0.0018,0
u,n,4,0.0018,0
h,u,4,0.0018,0
b,h,4,0.0018,0
d,o,4,0.0018,0
e,C,4,0.0018,0
b,n,4,0.0018,0
t,i,4,0.0018,0
T,i,4,0.0018,0
Y,X,4,0.0018,0
G,f,4,0.0018,0
u,v,4,0.0018,0
M,H,4,0.0018,0
y,x,4,0.0018,0
a,u,4,0.0018,0
i,A,4,0.0018,0
v,U,4,0.0018,0
Y,K,4,0.0018,0
u,h,4,0.0018,0
M,n,4,0.0018,0
G,w,4,0.0018,0
i,t,4,0.0018,0
j,f,4,0.0018,0
h,k,3,0.0014,0
h,U,3,0.0014,0
z,x,3,0.0014,0
f,q,3,0.0014,0
R,p,3,0.0014,0
i,j,3,0.0014,0
z,E,3,0.0014,0
S,U,3,0.0014,0
a,G,3,0.0014,0
j,T,3,0.0014,0
f,t,3,0.0014,0
k,x,3,0.0014,0
t,E,3,0.0014,0
l,c,3,0.0014,0
J,s,3,0.0014,0
U,o,3,0.0014,0
Z,N,3,0.0014,0
s,n,3,0.0014,0
S,n,3,0.0014,0
c,v,3,0.0014,0
p,D,3,0.0014,0
c,u,3,0.0014,0
C,L,3,0.0014,0
R,n,3,0.0014,0
Z,t,3,0.0014,0
o,u,3,0.0014,0
P,n,3,0.0014,0
B,P,3,0.0014,0
m,F,3,0.0014,0
p,x,3,0.0014,0
G,o,3,0.0014,0
Y,Q,3,0.0014,0
Z,i,3,0.0014,0
u,c,3,0.0014,0
k,z,3,0.0014,0
m,n,3,0.0014,0
u,V,3,0.0014,0
m,D,3,0.0014,0
K,R,3,0.0014,0
b,D,3,0.0014,0
t,f,3,0.0014,0
U,h,3,0.0014,0
T,t,3,0.0014,1
f,S,3,0.0014,0
r,k,2,0.0009,0
Z,A,2,0.0009,0
n,P,2,0.0009,0
r,x,2,0.0009,0
R,B,2,0.0009,0
r,J,2,0.0009,0
s,r,2,0.0009,0
g,d,2,0.0009,0
N,W,2,0.0009,0
n,U,2,0.0009,0
p,b,2,0.0009,0
f,y,2,0.0009,0
Z,L,2,0.0009,0
U,a,2,0.0009,0
F,f,2,0.0009,1
K,p,2,0.0009,0
S,b,2,0.0009,0
F,t,2,0.0009,0
H,I,2,0.0009,0
E,r,2,0.0009,0
P,R,2,0.0009,0
a,w,2,0.0009,0
H,F,2,0.0009,0
y,q,2,0.0009,0
u,r,2,0.0009,0
w,u,2,0.0009,0
A,N,2,0.0009,0
l,V,2,0.0009,0
h,x,2,0.0009,0
f,F,2,0.0009,1
u,o,2,0.0009,0
w,e,2,0.0009,0
P,x,2,0.0009,0
c,I,2,0.0009,0
d,O,2,0.0009,0
k,v,2,0.0009,0
y,D,2,0.0009,0
K,u,2,0.0009,0
L,I,2,0.0009,0
N,e,2,0.0009,0
T,f,2,0.0009,0
U,l,2,0.0009,0
v,L,2,0.0009,0
e,d,2,0.0009,0
f,H,2,0.0009,0
J,I,2,0.0009,0
A,f,2,0.0009,0
m,N,2,0.0009,0
N,H,2,0.0009,0
d,X,2,0.0009,0
q,K,2,0.0009,0
P,B,2,0.0009,0
G,U,2,0.0009,0
f,T,2,0.0009,0
R,N,2,0.0009,0
H,M,2,0.0009,0
H,K,2,0.0009,0
u,O,2,0.0009,0
U,L,2,0.0009,0
V,L,2,0.0009,0
J,S,2,0.0009,0
F,A,2,0.0009,0
i,E,2,0.0009,0
D,p,2,0.0009,0
Z,R,1,0.0005,0
r,a,1,0.0005,0
Y,H,1,0.0005,0
Z,h,1,0.0005,0
n,R,1,0.0005,0
z,k,1,0.0005,0
i,I,1,0.0005,1
r,i,1,0.0005,0
Z,q,1,0.0005,0
i,T,1,0.0005,0
i,N,1,0.0005,0
l,d,1,0.0005,0
z,S,1,0.0005,0
f,A,1,0.0005,0
U,M,1,0.0005,0
D,T,1,0.0005,0
R,D,1,0.0005,0
a,Z,1,0.0005,0
s,O,1,0.0005,0
S,O,1,0.0005,0
s,e,1,0.0005,0
t,Q,1,0.0005,0
u,Q,1,0.0005,0
S,J,1,0.0005,0
d,M,1,0.0005,0
s,J,1,0.0005,0
X,y,1,0.0005,0
w,o,1,0.0005,0
E,Z,1,0.0005,0
t,k,1,0.0005,0
N,o,1,0.0005,0
k,t,1,0.0005,0
d,q,1,0.0005,0
v,Y,1,0.0005,0
V,N,1,0.0005,0
a,i,1,0.0005,0
b,Q,1,0.0005,0
D,M,1,0.0005,0
G,e,1,0.0005,0
H,G,1,0.0005,0
S,h,1,0.0005,0
V,Z,1,0.0005,0
b,m,1,0.0005,0
f,z,1,0.0005,0
g,m,1,0.0005,0
k,D,1,0.0005,0
l,S,1,0.0005,0
D,I,1,0.0005,0
E,J,1,0.0005,0
N,Z,1,0.0005,0
S,u,1,0.0005,0
b,Z,1,0.0005,0
s,b,1,0.0005,0
v,s,1,0.0005,0
E,t,1,0.0005,0
W,U,1,0.0005,0
l,v,1,0.0005,0
p,A,1,0.0005,0
s,y,1,0.0005,0
A,R,1,0.0005,0
B,T,1,0.0005,0
p,n,1,0.0005,0
H,U,1,0.0005,0
t,l,1,0.0005,0
x,w,1,0.0005,0
H,D,1,0.0005,0
r,h,1,0.0005,0
o,U,1,0.0005,0
r,p,1,0.0005,0
R,F,1,0.0005,0
i,x,1,0.0005,0
q,Y,1,0.0005,0
k,u,1,0.0005,0
A,F,1,0.0005,0
B,k,1,0.0005,0
J,X,1,0.0005,0
M,x,1,0.0005,0
R,E,1,0.0005,0
W,Q,1,0.0005,0
g,Q,1,0.0005,0
j,I,1,0.0005,0
n,b,1,0.0005,0
q,x,1,0.0005,0
w,i,1,0.0005,0
M,e,1,0.0005,0
N,z,1,0.0005,0
Q,K,1,0.0005,0
f,K,1,0.0005,0
K,r,1,0.0005,0
M,X,1,0.0005,0
V,c,1,0.0005,0
W,a,1,0.0005,0
Z,E,1,0.0005,0
e,O,1,0.0005,0
g,G,1,0.0005,1
n,s,1,0.0005,0
p,X,1,0.0005,0
q,O,1,0.0005,0
r,f,1,0.0005,0
B,H,1,0.0005,0
K,b,1,0.0005,0
M,r,1,0.0005,0
O,C,1,0.0005,0
R,k,1,0.0005,0
U,c,1,0.0005,0
W,H,1,0.0005,0
Y,E,1,0.0005,0
h,s,1,0.0005,0
m,k,1,0.0005,0
n,a,1,0.0005,0
q,o,1,0.0005,0
p,j,1,0.0005,0
S,I,1,0.0005,0
p,T,1,0.0005,0
r,s,1,0.0005,0
K,t,1,0.0005,0
W,V,1,0.0005,0
h,T,1,0.0005,0
A,T,1,0.0005,0
H,T,1,0.0005,0
w,H,1,0.0005,0
A,t,1,0.0005,0
B,D,1,0.0005,0
d,G,1,0.0005,0
k,p,1,0.0005,0
w,b,1,0.0005,0
a,p,1,0.0005,0
J,T,1,0.0005,0
P,b,1,0.0005,0
a,q,1,0.0005,0
C,U,1,0.0005,0
j,J,1,0.0005,1
G,Q,1,0.0005,0
f,i,1,0.0005,0
R,M,1,0.0005,0
e,l,1,0.0005,0
k,M,1,0.0005,0
W,M,1,0.0005,0
A,E,1,0.0005,0
j,S,1,0.0005,0
C,I,1,0.0005,0
G,u,1,0.0005,0
q,B,1,0.0005,0
g,J,1,0.0005,0
q,X,1,0.0005,0
n,D,1,0.0005,0
K,M,1,0.0005,0
L,N,1,0.0005,0
a,j,1,0.0005,0
b,P,1,0.0005,0
c,g,1,0.0005,0
M,p,1,0.0005,0
e,g,1,0.0005,0
h,B,1,0.0005,0
i,H,1,0.0005,0
o,d,1,0.0005,0
x,H,1,0.0005,0
K,N,1,0.0005,0
N,B,1,0.0005,0
J,f,1,0.0005,0
o,a,1,0.0005,0
m,r,1,0.0005,0
s,c,1,0.0005,0
G,E,1,0.0005,0
a,c,1,0.0005,0
w,z,1,0.0005,0
V,W,1,0.0005,0
q,h,1,0.0005,0
A,G,1,0.0005,0
B,I,1,0.0005,0
X,l,1,0.0005,0
f,h,1,0.0005,0
I,K,1,0.0005,0
L,B,1,0.0005,0
d,S,1,0.0005,0
U,G,1,0.0005,0
E,F,1,0.0005,0
W,O,1,0.0005,0
Y,u,1,0.0005,0
x,a,1,0.0005,0
y,u,1,0.0005,0
z,e,1,0.0005,0
M,u,1,0.0005,0
Y,d,1,0.0005,0
X,d,1,0.0005,0
w,G,1,0.0005,0
E,R,1,0.0005,0
h,V,1,0.0005,0
t,r,1,0.0005,0
R,K,1,0.0005,0
n,I,1,0.0005,0
q,G,1,0.0005,0
N,w,1,0.0005,0
